Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Count,Mean,Error,StdDev,Median
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,51.19 ns,1.9418 ns,2.3116 ns,49.92 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,77.41 ns,1.5798 ns,3.7238 ns,75.14 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,180.29 ns,0.2424 ns,0.2024 ns,180.24 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,203.98 ns,8.0888 ns,9.6291 ns,198.46 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,20,344.56 ns,7.1014 ns,20.8272 ns,328.17 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,20,335.97 ns,0.9114 ns,0.7611 ns,335.87 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,859.85 ns,0.3313 ns,0.3099 ns,859.72 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,753.26 ns,13.1253 ns,10.9602 ns,747.29 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,"1,571.07 ns",31.2722 ns,85.0784 ns,"1,514.42 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,"1,566.75 ns",31.1829 ns,78.8032 ns,"1,617.26 ns"
