Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Count,Mean,Error,StdDev,Median
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,81.45 ns,1.1764 ns,0.9184 ns,81.34 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,96.52 ns,3.4910 ns,10.2932 ns,96.96 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,205.84 ns,0.9930 ns,0.7752 ns,205.60 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,217.24 ns,4.3885 ns,10.5147 ns,224.61 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,20,344.28 ns,3.5991 ns,3.0054 ns,342.51 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,20,378.85 ns,6.2467 ns,4.8770 ns,375.92 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,856.56 ns,11.1990 ns,10.4755 ns,861.38 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,794.12 ns,15.9066 ns,39.0191 ns,826.47 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,"1,453.03 ns",26.2586 ns,20.5010 ns,"1,448.48 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,"1,527.06 ns",30.2843 ns,78.1735 ns,"1,580.89 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,200,"2,915.08 ns",58.0383 ns,157.8975 ns,"2,810.50 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,200,"3,087.98 ns",1.6630 ns,1.0999 ns,"3,088.03 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,500,"6,917.36 ns",8.3288 ns,6.5026 ns,"6,915.87 ns"
