Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Count,Mean,Error,StdDev,Median
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,61.88 ns,1.279 ns,3.303 ns,59.64 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,726.33 ns,3.714 ns,2.899 ns,726.13 ns
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,461.46 ns,2.259 ns,2.003 ns,461.02 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,"2,187.69 ns",43.773 ns,105.718 ns,"2,273.71 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,20,982.30 ns,19.151 ns,16.977 ns,978.16 ns
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,20,"3,615.96 ns",95.187 ns,171.641 ns,"3,524.34 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,"2,869.55 ns",57.346 ns,140.670 ns,"2,882.01 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,50,"8,087.08 ns",144.602 ns,112.896 ns,"8,048.12 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,"5,774.34 ns",35.189 ns,32.916 ns,"5,765.09 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,"16,905.99 ns",314.188 ns,262.361 ns,"17,009.92 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,200,"12,333.06 ns",152.954 ns,127.724 ns,"12,263.30 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,200,"30,631.55 ns",119.933 ns,93.636 ns,"30,636.90 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,500,"34,423.18 ns",353.901 ns,276.303 ns,"34,418.26 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,500,"81,339.43 ns",306.033 ns,255.552 ns,"81,343.25 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,"73,063.81 ns",675.257 ns,631.636 ns,"72,809.68 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,"168,667.01 ns","3,342.501 ns","8,979.412 ns","173,304.55 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,"827,523.76 ns","5,495.850 ns","4,290.798 ns","826,595.43 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,"1,578,545.63 ns","8,197.225 ns","7,266.626 ns","1,578,743.42 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000000,"136,485,855.96 ns","754,865.663 ns","589,349.405 ns","136,502,579.36 ns"
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000000,"197,502,872.77 ns","3,902,157.501 ns","5,341,317.232 ns","194,222,636.39 ns"
New,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2147483647,NA,NA,NA,NA
Old,Core,False,Default,Default,Default,Default,Default,Default,16777215,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2147483647,NA,NA,NA,NA
